g_total,g_hinge,g_l1,d
"tf.Tensor(0.67754245, shape=(), dtype=float32)","tf.Tensor(-0.0011892447, shape=(), dtype=float32)","tf.Tensor(0.6787327, shape=(), dtype=float32)","tf.Tensor(0.9999711, shape=(), dtype=float32)"
"tf.Tensor(0.43539158, shape=(), dtype=float32)","tf.Tensor(-0.0012127941, shape=(), dtype=float32)","tf.Tensor(0.43660527, shape=(), dtype=float32)","tf.Tensor(0.9999855, shape=(), dtype=float32)"
"tf.Tensor(0.3453865, shape=(), dtype=float32)","tf.Tensor(-0.0012225079, shape=(), dtype=float32)","tf.Tensor(0.34660918, shape=(), dtype=float32)","tf.Tensor(0.9999905, shape=(), dtype=float32)"
"tf.Tensor(0.30508846, shape=(), dtype=float32)","tf.Tensor(-0.0012264601, shape=(), dtype=float32)","tf.Tensor(0.30631465, shape=(), dtype=float32)","tf.Tensor(0.9999916, shape=(), dtype=float32)"
"tf.Tensor(0.28498602, shape=(), dtype=float32)","tf.Tensor(-0.0012278676, shape=(), dtype=float32)","tf.Tensor(0.28621337, shape=(), dtype=float32)","tf.Tensor(0.99999225, shape=(), dtype=float32)"
"tf.Tensor(0.27265182, shape=(), dtype=float32)","tf.Tensor(-0.0012292243, shape=(), dtype=float32)","tf.Tensor(0.27388096, shape=(), dtype=float32)","tf.Tensor(0.9999923, shape=(), dtype=float32)"
"tf.Tensor(0.26242742, shape=(), dtype=float32)","tf.Tensor(-0.00123109, shape=(), dtype=float32)","tf.Tensor(0.26365867, shape=(), dtype=float32)","tf.Tensor(0.9999938, shape=(), dtype=float32)"
"tf.Tensor(0.25558174, shape=(), dtype=float32)","tf.Tensor(-0.0012319589, shape=(), dtype=float32)","tf.Tensor(0.25681382, shape=(), dtype=float32)","tf.Tensor(0.9999935, shape=(), dtype=float32)"
"tf.Tensor(0.25016722, shape=(), dtype=float32)","tf.Tensor(-0.0012335101, shape=(), dtype=float32)","tf.Tensor(0.25140044, shape=(), dtype=float32)","tf.Tensor(0.9999948, shape=(), dtype=float32)"
"tf.Tensor(0.24543507, shape=(), dtype=float32)","tf.Tensor(-0.0012344051, shape=(), dtype=float32)","tf.Tensor(0.2466696, shape=(), dtype=float32)","tf.Tensor(0.99999493, shape=(), dtype=float32)"
"tf.Tensor(0.24026608, shape=(), dtype=float32)","tf.Tensor(-0.0012358016, shape=(), dtype=float32)","tf.Tensor(0.24150205, shape=(), dtype=float32)","tf.Tensor(0.9999954, shape=(), dtype=float32)"
